eng_id	english	toki_id	toki_pona
1045248	Big Brother is watching you.	2907834	pata suli li lukin e sina.
1257568	The ☭ is a symbol of communism.	7844879	"sitelen ""☭"" li sitelen pi nasin pi mani sama."
866505	"The cow goes ""moo,"" the rooster goes ""cock-a-doodle-doo,"" the pig goes ""oink, oink,"" the duck goes ""quack, quack"" and the cat goes ""meow."""	8053315	"soweli mani pi telo mama li mu ""mu"". waso mani li mu ""kakatutututu"". soweli mani pi loje walo li mu ""onki"". waso telo li mu ""wakiwaki"". soweli tomo li mu ""mijo""."
8280413	I wouldn't say no to a pizza.	8783364	mi wile ala toki e ni: mi wile ala moku e mulapisu.
4496560	These claims are false.	9449191	toki ni li powe.
2685937	Why did you stop only the foreigners?	9690572	sina pake e jan pi ma ante taso tan seme?
514907	It's a doll.	9702365	ona li jan powe.
253399	I don't like classical music.	9712567	kalama musi majuna li pona ala tawa mi.
1063966	They're only crocodile tears.	9763908	ona li telo lukin powe taso.
7026042	"Hey, are you trying to trick me? ""No, I'm trying to go for a walk. I don't even know who you are."""	9803888	"o, sina wile powe e mi anu seme? ""ala, mi wile tawa noka. mi sona ala kin e sina."""
8534792	They're non-binary.	9815454	ona li tonsi.
7840667	Are you non-binary?	9815462	sina tonsi ala tonsi?
5990788	I'm non-binary.	9815463	mi tonsi.
9960432	The center in the game of chess, formed by the e4, e5, d4, and d5 squares, has exceptional strategic importance. Whoever has a strong center will always have an advantage in carrying out both attack and defense operations.	9962743	musi pi jan lawa ma la insa pi supa musi li jo e suli mute. musi sina li jo e insa wawa, la sina pali pona e utala e awen. insa musi li jo e ma e4 e ma e5 e ma d4 e ma d5.
9960174	The player with the black pieces has numerous options to answer to 1. e4.	9963200	jan musi pi kiwen musi walo li pali e4, la jan musi pi kiwen pimeja li ken pali e tawa lon nasin mute.
9975436	95 years old! God Save the Queen!	9975499	sike suno 95! jan sewi o awen e meli lawa!
9975768	Computers can communicate with each other via the Internet.	9975761	ilo sona mute li ken toki tawa ilo sona ante kepeken linluwi.
10008996	I'm nonbinary.	9815463	mi tonsi.
10008999	Are you nonbinary?	9815462	sina tonsi ala tonsi?
10009000	They're nonbinary.	9815454	ona li tonsi.
10087518	2020 was a bad year.	10089552	tenpo sike nanpa 2020 li tenpo sike ike.
10169073	I like mushrooms.	10184599	soko li pona tawa mi.
10169075	I love mushrooms.	10184600	soko li pona mute tawa mi.
10184614	I like fungi.	10184599	soko li pona tawa mi.
7192326	These mushrooms are poisonous.	10184653	soko ni li ike tawa sijelo jan.
7192326	These mushrooms are poisonous.	10184656	sina moku e soko ni la sijelo sina li kama ike.
1841211	This is epic.	10184658	ni li epiku.
433512	Awesome!	10184661	epiku a!
433512	Awesome!	10184662	epiku!
4215981	Cool!	10184661	epiku a!
4215981	Cool!	10184662	epiku!
7303875	Amazing!	10184661	epiku a!
7303875	Amazing!	10184662	epiku!
5264713	Er...	10184666	n...
10184669	Um...	10184666	n...
5264786	Hmm...	10184666	n...
10120094	I'm genderqueer.	9815463	mi tonsi.
42202	It's neither good nor bad.	10185095	ona li meso.
42555	It is neither good nor bad.	10185095	ona li meso.
8476615	He's average.	10185095	ona li meso.
7114154	I'm average height.	10185099	suli mi li meso.
10234002	Trans men are men.	10239058	mije tonsi li mije.
10234001	Trans women are women.	10239059	meli tonsi li meli.
1891261	That's totally awesome.	10184658	ni li epiku.
2202597	You're awesome.	10244648	sina epiku.
318814	The average nurse is entitled to three weeks' holiday a year.	10275730	jan meso pi sona misikeke li ken jo e sike esun tu wan pi pali ala lon sike.
7490563	The old man the boat.	10276082	jan majuna li pali e tomo tawa telo.
8043667	Let's split this fifty-fifty.	10280251	meso la mi o kipisi e ni.
